CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
CHICO CÉSAR,2872,PÉTALA POR PÉTALA ,Asua falta me fez ver o que de mal a vida pode ter 22C,@@
CHICO CÉSAR,3624,MAMA ÁFRICA ,Let me sing let me sing,BRA
CHICO CÉSAR,6476,TEMPLO ,Se você olha pra mim se me dá…,BRA
CHICO CÉSAR,17818,PALAVRA MÁGICA ,Não diga a palavra mágica 40K,@@
CHICO CÉSAR - DOMINGUINHOS,17782,DEUS ME PROTEJA ,Deus me proteja de mim e da maldade de gente 40G,@@
CHICO REI E PARANÁ,9599,ALMA TRANSPARENTE ,Te dei meu mundo minha vida o meu car,IMP 14
CHICO REY E PARANÁ,15072,LEÃO DOMADO ,Você é a maior paixão que eu tenho em minha vida,IMP 23
CHICO REY E PARANÁ,15075,NÃO SÃO SÓ PALAVRAS LINDAS ,Épor nada que eu te quero é por tudo que me dás,IMP 23
CHICO REY E PARANÁ,15245,CANARINHO PRISIONEIRO ,Sou aquele canarinho que cantou em seu terreno imp 24,@@
CHICO REY E PARANÁ,16158,UM DEGRAU NA ESCADA ,Estou sozinho livre outra vez 30A,@@
CHICO REY E PARANÁ,16558,QUEM SERÁ SEU OUTRO AMOR ,Vi os seus olhos brilhando de tanto amor 32C,@@
CHICO SCIENCE - NACÃO ZUMBI,17667,MANGUETOWN ,To enfiado na lama e um bairro sujo39L,@@
CHIMARRUTS,1228,PRA EL,Ase um dia alguém te deixou,IMP 16
CHIMARRUTS,1667,DO LADO DE CÁ ,Uh uh uh uh,IMP19
CHIMARRUTS,2864,EM BUSCA DA FÉ ,Palavras que foram dadas com tom de amanhacer 22C,@@
CHIMARRUTS,9908,VERSOS SIMPLES ,Uhh yeh ah ah ah,IMP 14
CHIMARRUTS,15058,QUANDO O AMOR BATE A ,Sorria amor que o melhor ainda está por vir,IMP 23
CHIMARRUTS,16380,SABER VOAR ,Falar que bom quando é pra ti 31C,@@
CHIQUE,20114,LE FREAK ,Ahh enlouqueça Le Freak c'est chic,INT11D
CHIQUITITAS,3811,REMEXE (RECHUFAS) ,Tudo se transforma com magia,BRA
CHIQUITITAS,3864,BERLINDA (BERLIN) ,Neste jogo só se diz a verdade se,BRA
CHIQUITITAS,15210,ATÉ DEZ ,Um dois três tem que limpar imp 24,@@
CHIQUITITAS,15277,TUDO TUDO ,Fique bem atento para ver sair o sol imp 24,@@
CHIQUITITAS,16272,MENTIRINHAS (MENTIRITAS) ,Sua mamãe foi uma rainha e você,30D
CHIQUITITAS,1043,CORAÇÃO COM BURAQUINHOS INF,,INF
CHITÃOZINHO E XORORÓ,1331,AI MARI,Aai maria,IMP17
CHITÃOZINHO E XORORÓ,1400,SACO DE OUR,Oum saco de estopa com embira amarra,IMP17
CHITÃOZINHO E XORORÓ,1409,COWBOY DO ASFALT,Osão três horas da manhã,IMP17
CHITÃOZINHO E XORORÓ,1799,VÁ PRO INFERNO COM SEU AMOR,Não adianta mais,IMP19
CHITÃOZINHO E XORORÓ,3035,BRINCAR DE SER FELIZ ,Tranquei a porta do meu peito,BRA
CHITÃOZINHO E XORORÓ,3094,EVIDÊNCIA ,Quando eu digo que deixei de te amar,BRA
CHITÃOZINHO E XORORÓ,3102,FIO DE CABELO ,Quando a gente ama qualquer coisa,BRA
CHITÃOZINHO E XORORÓ,3172,NO RANCHO FUNDO ,No rancho fundo bem pra lá do fim do mundo,BRA
CHITÃOZINHO E XORORÓ,3181,NUVEM DE LÁGRIMAS ,Há uma núvem de lágrimas,BRA
CHITÃOZINHO E XORORÓ,3218,PLANETA AZUL ,Avida e a natureza sempre à mercê,BRA
CHITÃOZINHO E XORORÓ,3303,ATÉ VOCÊ VOLTAR ,Eu hoje perguntei para o meu coração,BRA
CHITÃOZINHO E XORORÓ,3326,FOGE DE MIM ,Eu conto com você nos momentos,BRA
CHITÃOZINHO E XORORÓ,3395,UM HOMEM QUANDO AMA ,"Amigo, se você ama não tenha medo",BRA
CHITÃOZINHO E XORORÓ,3414,CORAÇÃO SERTANEJO ,"Andei, andei, andei até encontrar",BRA
CHITÃOZINHO E XORORÓ,3479,NASCEMOS PRA CANTAR ,Ogrande mestre do céu o nosso,BRA
CHITÃOZINHO E XORORÓ,3510,BAILÃO DE PEÃO ,"Ébailão, é rodeio festa de peão também",BRA
CHITÃOZINHO E XORORÓ,3548,VEZ EM QUANDO VEM ME VER ,Não toque em meus cabelos feito,BRA
CHITÃOZINHO E XORORÓ,3551,60 DIAS APAIXONADO ,Viajando pra Mato Grosso,BRA
CHITÃOZINHO E XORORÓ,3564,FEITO EU ,Caminhando sem saber pra onde,BRA
CHITÃOZINHO E XORORÓ,3573,LOIRA GELADA ,Hoje eu vou cair no mundo,BRA
CHITÃOZINHO E XORORÓ,3588,PÁGINA DE AMIGOS ,Ela ligou terminando tudo entre eu e,BRA
CHITÃOZINHO E XORORÓ,3655,CONFIDÊNCIAS ,Abra os olhos do seu coração,BRA
CHITÃOZINHO E XORORÓ,3677,PALAVRAS (WORDS) ,"Smile, an everlasting smile",BRA
CHITÃOZINHO E XORORÓ,3678,PODE SER PRÁ VALER ,Se você está aí sozinha,BRA
CHITÃOZINHO E XORORÓ,3685,SÓ QUEM AMOU DEMAIS ,Se já doeu demais a falta desse amor,BRA
CHITÃOZINHO E XORORÓ,3704,É ASSIM QUE TE AMO ,Sem me pedir você chegou assim,BRA
CHITÃOZINHO E XORORÓ,3706,ELA NÃO VAI MAIS CHORAR ,Por tantas vezes eu menti,BRA
CHITÃOZINHO E XORORÓ,3764,PÉ NA ESTRADA ,"Pé na estrada, lá vamos nós outra vez",BRA
CHITÃOZINHO E XORORÓ,3855,PENSANDO EM MINHA AMADA ,Imagine um rapaz apaixonado...,BRA
CHITÃOZINHO E XORORÓ,3862,A MINHA VIDA ,"Eu sei, eu aprendi a me aceitar do",BRA
CHITÃOZINHO E XORORÓ,3896,PURA EMOÇÃO ,Ela é mistério nesse jeito sério pode,BRA
CHITÃOZINHO E XORORÓ,3925,O HOMEM DE NAZARÉ ,"Ei, tá chegando o ano dois mil",BRA
CHITÃOZINHO E XORORÓ,3933,SE DEUS ME OUVISSE ,Ah! Se Deus me ouvisse e mandasse,BRA
CHITÃOZINHO E XORORÓ,4032,DEIXEI DE SER COWBOY POR ELA,Eu sempre acreditei no amor,BRA
CHITÃOZINHO E XORORÓ,4080,EU MENTI ,Eu menti pra você...,BRA
CHITÃOZINHO E XORORÓ,4165,NA ABA DO MEU CHAPÉU ,"Ela me abraçou, me deu um beijo...",BRA
CHITÃOZINHO E XORORÓ,4216,TE ESQUECER É IMPOSSÍVEL ,Você ainda nem me disse por que tudo...,BRA
CHITÃOZINHO E XORORÓ,4226,ATÉ QUE TE CONHECI ,"Eu vivia tão contente, tão alegre...",BRA
CHITÃOZINHO E XORORÓ,4345,ALÔ ,Alô tô ligando pra saber como você está...,BRA
CHITÃOZINHO E XORORÓ,4448,O AMOR É MAIS FORTE ,Tenho andado tão sozinho seguando a ...,BRA
CHITÃOZINHO E XORORÓ,6079,"UM, DOIS, TRÊS ","Um dois três... ""Um"" descobri que...",BRA
CHITÃOZINHO E XORORÓ,6308,QUE AMOR É ESSE ,Que forte amor é esse amor...,BRA
CHITÃOZINHO E XORORÓ,6396,UM SONHO DE AMOR ,De onde vem esse amor tão intenso...,BRA
CHITÃOZINHO E XORORÓ,6461,EU E O SABIÁ ,Ai quem me dera sabiá também…,BRA
CHITÃOZINHO E XORORÓ,6655,FRETE ,Eu conheço cada palmo desse chão...,BRA
